4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,14,14,14,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14
8,8,8,8,8,9,9,9,9,9,10,10,10,10,13,13,13,13,13,14,14,14,14,14,24,24,24,24,9,9,9,9,9,10,10,10,10,13,13,13,13,13,14,14,14,14,14,24,24,24,24,10,10,10,10,10,24,13,13,13,13,13,14,14,14,14,14,24,24,24,24,24,24,24,24,24,9,9,9,9,9,10,13,13,13,13,13,14,14,14,14,14,24,24,24,24,24,10,10,10,10,13,13,13,13,13,14,14,14,14,14,24,24,24,24,13,13,13,13,14,14,14,14,24,24,24,24,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,10,10,10,10,13,13,13,13,13,14,14,14,14,14,24,24,24,24,13,13,13,13,14,14,14,14,24,24,24,24,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,13,13,13,13,13,14,14,14,14,14,24,24,24,24,24,24,24,24,24,14,14,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
11,16,19,20,21,6,12,15,17,23,11,16,20,21,6,12,15,17,23,6,12,15,17,23,6,12,15,23,6,12,15,17,23,11,16,20,21,6,12,15,17,23,6,12,15,17,23,6,12,15,23,6,12,15,17,23,17,6,12,15,17,23,6,12,15,17,23,6,12,15,23,17,2,7,17,18,11,16,19,20,21,19,11,16,19,20,21,11,16,19,20,21,11,16,19,20,21,11,16,20,21,6,12,15,17,23,6,12,15,17,23,6,12,15,23,11,16,20,21,11,16,20,21,11,16,20,21,6,12,15,17,23,6,12,15,23,2,6,7,12,15,18,23,11,16,20,21,6,12,15,17,23,6,12,15,17,23,6,12,15,23,11,16,20,21,11,16,20,21,11,16,20,21,6,12,15,17,23,6,12,15,23,2,6,7,12,15,18,23,6,12,15,17,23,6,12,15,17,23,6,12,15,23,17,2,7,17,18,6,12,15,17,23,6,12,15,23,2,6,7,12,15,18,23,2,7,17,18
